Date,Culture,Variety,Nombre,Poids (kg),Section
2021-07-12,Chou-rave,Pourpre,24,12.324,G
2021-08-11,Chou-rave,Vert,52,13.886,G
2021-08-18,Chou-rave,Chou-rave,24,11.16,G
2021-08-23,Chou-rave,Quickstar,17,3.742,G
2021-08-25,Chou-rave,Chou-rave,24,1.87,G
2021-10-27,Chou-rave,Vert,24,0.762,Passerelle
2021-06-29,Chou-rave (declasses),Chou-rave (declasses),24,11.264,G
2021-07-21,Concombre,Salt & Pepper,16,3.124,B
2021-07-21,Concombre,Pomme de Cristal,3,0.606,B
2021-07-26,Concombre,Pomme de cristal,24,1.128,B
2021-07-26,Concombre,Salt & Pepper,24,2.09,B
2021-07-28,Concombre,Concombre,24,5.51,B
2021-08-02,Concombre,Pomme de Cristal,24,2.138,B
2021-08-03,Concombre,Pomme de Cristal,24,0.98,B
2021-08-04,Concombre,Pomme de Cristal,24,0.114,G
2021-08-04,Concombre,Salt & Pepper,24,3.106,B
2021-08-04,Concombre,Pomme de Cristal,24,5.04,B
2021-08-06,Concombre,Pomme de Cristal,24,6.36,B
2021-08-06,Concombre,Salt & Pepper,24,1.55,B
2021-08-09,Concombre,Salt & Pepper,24,1.532,B
2021-08-09,Concombre,Pomme de Cristal,24,4.164,B
2021-08-11,Concombre,Pomme de Cristal,24,3.999,B
2021-08-11,Concombre,Salt & Pepper,24,0.87,B
2021-08-13,Concombre,Pomme de Cristal,24,0.476,G
2021-08-13,Concombre,Salt & Pepper,24,1.97,B
2021-08-13,Concombre,Pomme de Cristal,24,3.26,B
2021-08-16,Concombre,Salt & Pepper,24,1.572,B
2021-08-16,Concombre,Pomme de Cristal,24,1.058,B
2021-08-18,Concombre,Salt & Pepper,24,1.79,B
2021-08-18,Concombre,Pomme de Cristal,24,4.574,B
2021-06-25,Courgette,Courgette,24,1.9,B
2021-06-29,Courgette,Courgette,24,0.156,B
2021-07-05,Courgette,Courgette,24,3.8,B
2021-07-06,Courgette,Courgette,24,4.75,B
2021-07-07,Courgette,Courgette,24,7.238,B
2021-07-13,Courgette,Courgette,24,3.692,B
2021-07-14,Courgette,Courgette,24,7.066,B
2021-07-20,Courgette,Courgette,24,6.168,B
2021-07-20,Courgette,Courgette,24,20.592,B
2021-07-21,Courgette,Courgette,6,0.504,B
2021-07-26,Courgette,Courgette,24,7.286,B
2021-07-28,Courgette,Courgette,24,4.1,B
2021-07-30,Courgette,Courgette,24,0.424,B
2021-09-01,Courgette,Jaune,24,0.362,G
2021-09-03,Courgette,Jaune,24,0.21,G
2021-09-20,Courgette,Jaune,24,0.838,G
2021-08-18,Echalotte,Echalotte,24,1.492,Passerelle
2021-08-25,Echalotte,Echalotte,24,4.844,Passerelle
2021-09-09,Echalotte,Echalotte,24,14.106,Passerelle
2021-10-27,Epinard,Epinard,24,0.78,A
2021-09-02,Origan,Origan,24,0.398,Vertical
2021-09-02,Shiso,Vert,24,1.632,Vertical
2021-07-06,Fenouil,Fenouil,26,11.002,G
2021-07-07,Fenouil,Fenouil,31,12.25,G
2021-07-13,Fenouil,Fenouil,29,12.632,G
2021-07-14,Fenouil,Fenouil,24,10.73,G
2021-07-20,Fenouil,Fenouil,10,5,G
2021-07-21,Fenouil,Fenouil,20,10.39,G
2021-07-23,Fenouil,Fenouil,24,59.582,G
2021-07-26,Fenouil,Fenouil,10,5.282,G
2021-07-28,Fenouil,Fenouil,24,22.5,G
2021-07-30,Fenouil,Fenouil,24,26.134,G
2021-10-06,Ficoide,Ficoide,24,1.606,Vertical
2021-10-13,Ficoide,Ficoide,24,7.25,G
2021-07-05,Gadelle,Gadelle,24,1.226,Fruits
2021-07-07,Gadelle,Gadelle,24,4.302,Fruits
2021-07-14,Groseille,Groseille,24,7.9,Fruits
2021-07-23,Groseille,Groseille,24,2.052,Fruits
2021-06-29,Haricot,Vert,24,1.495,C et D
2021-07-05,Haricot,Vert,24,6.11,C
2021-07-06,Haricot,Vert,24,1.9,C et D
2021-07-07,Haricot,Vert,24,4.888,C et D
2021-07-13,Haricot,Vert,24,1.22,C et D
2021-07-14,Haricot,Vert,24,7.53,C et D
2021-07-21,Haricot,Vert,24,3.73,C
2021-07-21,Haricot,Vert,24,4.924,D
2021-08-27,Haricot,Mix,24,2.106,Vertical
2021-09-03,Haricot,Vert,24,0.852,Vertical
2021-09-03,Haricot,Pourpre,24,0.14,Vertical
2021-08-11,Haricot (grimpant),Kentucky Blue,24,1.884,G
2021-08-20,Haricot (grimpant),Vert,24,0.418,G
2021-08-25,Haricot (grimpant),Vert,24,0.475,G
2021-09-03,Haricot (grimpant),Vert,24,0.274,G
2021-10-06,Haricot (grimpant),Vert,24,6.066,G
2021-07-26,Haricot (nain),Vert,24,0.404,C
2021-07-26,Haricot (nain),Vert,24,1.694,D
2021-08-04,Haricot (nain),Vert,24,0.258,G
2021-08-18,Haricot (nain),Vert,24,5.42,G
2021-08-20,Haricot (nain),Vert,24,5.478,G
2021-08-24,Haricot (nain),Vert,24,2.91,G
2021-08-25,Haricot (nain),Vert,24,2.498,G
2021-08-25,Haricot (nain),Vert,24,2.196,G
2021-08-27,Haricot (nain),Vert,24,1.552,G
2021-08-27,Haricot (nain),Jaune,24,0.294,D
2021-09-01,Haricot (nain),Vert,24,5.834,G
2021-09-01,Haricot (nain),Jaune,24,0.486,D
2021-09-03,Haricot (nain),Vert,24,1.61,G
2021-09-03,Haricot (nain),Jaune,24,0.626,C
2021-09-03,Haricot (nain),Jaune,24,0.934,D
2021-09-07,Haricot (nain),Jaune,24,0.69,C
2021-09-08,Haricot (nain),Vert,24,0.566,G
2021-09-08,Haricot (nain),Jaune,24,3.214,C
2021-09-08,Haricot (nain),Jaune,24,1.454,D
2021-09-08,Haricot (nain),Vert,24,6.528,G
2021-09-13,Haricot (nain),Vert,24,12.478,G
2021-09-13,Haricot (nain),Jaune,24,2.674,C
2021-09-15,Haricot (nain),Vert,24,8.066,G
2021-09-15,Haricot (nain),Vert,24,0.52,G
2021-09-15,Haricot (nain),Jaune,24,3.478,D
2021-09-15,Haricot (nain),Jaune,24,4.6,D
2021-09-16,Haricot (nain),Jaune,24,1.822,D
2021-09-16,Haricot (nain),Jaune,24,8.834,C
2021-09-20,Haricot (nain),Jaune,24,3.31,D
2021-09-20,Haricot (nain),Vert,24,7.938,G
2021-09-20,Haricot (nain),Jaune,24,3.848,C
2021-09-22,Haricot (nain),Vert,24,0.946,G
2021-09-22,Haricot (nain),Jaune,24,1.354,D
2021-09-22,Haricot (nain),Vert,24,4.488,G
2021-09-22,Haricot (nain),Jaune,24,0.89,C
2021-09-27,Haricot (nain),Vert,24,3.816,G
